Palabra,Algoritmo,Tipo de Medición,Promedio Tiempo
science,findall,timeit,0.07983423982520184
science,findall,perf_counter,0.07707924611964502
science,finditer,timeit,0.005061815555887848
science,finditer,perf_counter,0.0031628202792655736
science,search,timeit,0.03506415861209674
science,search,perf_counter,0.032733356267805803
data,findall,timeit,0.08429883422037097
data,findall,perf_counter,0.08150289481480731
data,finditer,timeit,0.005501827021051321
data,finditer,perf_counter,0.0033780824501302717
data,search,timeit,0.05504168459801571
data,search,perf_counter,0.05299805849862089
learning,findall,timeit,0.07721925109645468
learning,findall,perf_counter,0.07456727887188531
learning,finditer,timeit,0.004959786000299288
learning,finditer,perf_counter,0.003077445638157632
learning,search,timeit,0.05656995866455875
learning,search,perf_counter,0.05419340577787921
research,findall,timeit,0.07782608337361112
research,findall,perf_counter,0.07485557645302061
research,finditer,timeit,0.004985923880434338
research,finditer,perf_counter,0.003113934233733433
research,search,timeit,0.050477266334634216
research,search,perf_counter,0.048458735877469725
computer,findall,timeit,0.07830142844339212
computer,findall,perf_counter,0.07555023896865663
computer,finditer,timeit,0.005011783533464196
computer,finditer,perf_counter,0.0030868943504277885
computer,search,timeit,0.04165332232803802
computer,search,perf_counter,0.03937466153268249
ai,findall,timeit,0.0808639722821878
ai,findall,perf_counter,0.07829850901997948
ai,finditer,timeit,0.005072301367417666
ai,finditer,perf_counter,0.0031683265839620796
ai,search,timeit,0.05835559724441335
ai,search,perf_counter,0.05584092592030783
systems,findall,timeit,0.07866637148570206
systems,findall,perf_counter,0.07605906099711954
systems,finditer,timeit,0.005127855680542226
systems,finditer,perf_counter,0.003177531082534276
systems,search,timeit,0.06541972415430905
systems,search,perf_counter,0.06341262442458272
applications,findall,timeit,0.07583498457557637
applications,findall,perf_counter,0.07322706298855908
applications,finditer,timeit,0.004919109522581281
applications,finditer,perf_counter,0.0031026253617635466
applications,search,timeit,0.06305455698989615
applications,search,perf_counter,0.06079396425923699
intelligence,findall,timeit,0.07853874184437366
intelligence,findall,perf_counter,0.07580257892020803
intelligence,finditer,timeit,0.0051299402643923955
intelligence,finditer,perf_counter,0.00320816631334994
intelligence,search,timeit,0.061702609199443016
intelligence,search,perf_counter,0.059148901319083166
field,findall,timeit,0.07639745865894436
field,findall,perf_counter,0.07393054236743986
field,finditer,timeit,0.004894855383509041
field,finditer,perf_counter,0.003065594826201677
field,search,timeit,0.05583218377817313
field,search,perf_counter,0.053789587384623395
